location_type,name,state_name,district_name,sub_district_name,state_lgd_code,district_lgd_code,sub_district_lgd_code,village_lgd_code,source
sub_district,Agra,Uttar Pradesh,Agra,Agra,9,118,766,,lgd
sub_district,Etmadpur,Uttar Pradesh,Agra,Etmadpur,9,118,765,,lgd
sub_district,Bah,Uttar Pradesh,Agra,Bah,9,118,770,,lgd
sub_district,Fatehabad,Uttar Pradesh,Agra,Fatehabad,9,118,769,,lgd
sub_district,Kheragarh,Uttar Pradesh,Agra,Kheragarh,9,118,768,,lgd
sub_district,Kiraoli,Uttar Pradesh,Agra,Kiraoli,9,118,767,,lgd
sub_district,Iglas,Uttar Pradesh,Aligarh,Iglas,9,119,756,,lgd
sub_district,Atrauli,Uttar Pradesh,Aligarh,Atrauli,9,119,754,,lgd
sub_district,Khair,Uttar Pradesh,Aligarh,Khair,9,119,752,,lgd
sub_district,Gabhana,Uttar Pradesh,Aligarh,Gabhana,9,119,753,,lgd
sub_district,Koil,Uttar Pradesh,Aligarh,Koil,9,119,755,,lgd
sub_district,Akbarpur,Uttar Pradesh,Ambedkar Nagar,Akbarpur,9,121,910,,lgd
sub_district,Tanda,Uttar Pradesh,Ambedkar Nagar,Tanda,9,121,907,,lgd
sub_district,Allapur,Uttar Pradesh,Ambedkar Nagar,Allapur,9,121,908,,lgd
sub_district,Bhiti,Uttar Pradesh,Ambedkar Nagar,Bhiti,9,121,911,,lgd
sub_district,Jalalpur,Uttar Pradesh,Ambedkar Nagar,Jalalpur,9,121,909,,lgd
sub_district,Tiloi,Uttar Pradesh,Amethi,Tiloi,9,640,824,,lgd
sub_district,Gauriganj,Uttar Pradesh,Amethi,Gauriganj,9,640,913,,lgd
sub_district,Musafirkhana,Uttar Pradesh,Amethi,Musafirkhana,9,640,912,,lgd
sub_district,Amethi,Uttar Pradesh,Amethi,Amethi,9,640,914,,lgd
sub_district,Hasanpur,Uttar Pradesh,Amroha,Hasanpur,9,154,731,,lgd
sub_district,Naugawan Sadat,Uttar Pradesh,Amroha,Naugawan Sadat,9,154,6831,,lgd
sub_district,Amroha,Uttar Pradesh,Amroha,Amroha,9,154,730,,lgd
sub_district,Dhanaura,Uttar Pradesh,Amroha,Dhanaura,9,154,729,,lgd
sub_district,Auraiya,Uttar Pradesh,Auraiya,Auraiya,9,122,842,,lgd
sub_district,Ajitmal,Uttar Pradesh,Auraiya,Ajitmal,9,122,6877,,lgd
sub_district,Bidhuna,Uttar Pradesh,Auraiya,Bidhuna,9,122,841,,lgd
sub_district,Rudauli,Uttar Pradesh,Ayodhya,Rudauli,9,140,902,,lgd
sub_district,Sohawal,Uttar Pradesh,Ayodhya,Sohawal,9,140,904,,lgd
sub_district,Faizabad,Uttar Pradesh,Ayodhya,Faizabad,9,140,905,,lgd
sub_district,Bikapur,Uttar Pradesh,Ayodhya,Bikapur,9,140,906,,lgd
sub_district,Milkipur,Uttar Pradesh,Ayodhya,Milkipur,9,140,903,,lgd
sub_district,Burhanpur,Uttar Pradesh,Azamgarh,Burhanpur,9,123,964,,lgd
sub_district,Lalganj,Uttar Pradesh,Azamgarh,Lalganj,9,123,969,,lgd
sub_district,Martinganjon,Uttar Pradesh,Azamgarh,Martinganjon,9,123,6165,,lgd
sub_district,Sagri,Uttar Pradesh,Azamgarh,Sagri,9,123,965,,lgd
sub_district,Azamgarh,Uttar Pradesh,Azamgarh,Azamgarh,9,123,966,,lgd
sub_district,Mehnagar,Uttar Pradesh,Azamgarh,Mehnagar,9,123,970,,lgd
sub_district,Phulpur,Uttar Pradesh,Azamgarh,Phulpur,9,123,968,,lgd
sub_district,Nizamabad,Uttar Pradesh,Azamgarh,Nizamabad,9,123,967,,lgd
sub_district,Baraut,Uttar Pradesh,Baghpat,Baraut,9,124,735,,lgd
sub_district,Khekada,Uttar Pradesh,Baghpat,Khekada,9,124,737,,lgd
sub_district,Baghpat,Uttar Pradesh,Baghpat,Baghpat,9,124,736,,lgd
sub_district,Kaiserganj,Uttar Pradesh,Bahraich,Kaiserganj,9,125,922,,lgd
sub_district,Mihinpurwa Motipur,Uttar Pradesh,Bahraich,Mihinpurwa Motipur,9,125,6862,,lgd
sub_district,Nanpara,Uttar Pradesh,Bahraich,Nanpara,9,125,919,,lgd
sub_district,Payagpur,Uttar Pradesh,Bahraich,Payagpur,9,125,6861,,lgd
sub_district,Bahraich,Uttar Pradesh,Bahraich,Bahraich,9,125,921,,lgd
sub_district,Mahasi,Uttar Pradesh,Bahraich,Mahasi,9,125,920,,lgd
